hostname,tic_id,mass,age_yr,feh,av,chi2_phot,chi2_prior,chi2_total,chi2_reduced,n_obs_bands,distance_pc,model_G,model_BP,model_RP,model_J,model_H,model_K,model_W1
TOI-1736,408618999,1.042995026636182,9263489731.096613,0.4777731183497383,0.10149762831451307,1.770453091688943,0.11116791803563358,1.8816210097245765,0.6272070032415255,7,87.9780349731445,4.0663155146389816,4.40799338589028,3.5476877178053257,2.97264661952961,2.6513353321921134,2.5667190639797295,2.5374158875012105
TOI-4184,394357918,0.7028899788111188,49761756.76748281,0.4596654849729039,2.7573666897142055,57630.9939171775,2.776533251323228,57633.77045042882,19211.256816809608,7,68.9510269165039,9.402611358103016,10.951630475597499,7.963876814555228,6.085082020564727,5.195668538189115,4.8463017226553715,4.756142624224606
TOI-2345,91555165,0.7698371465254881,3512155674.7083125,0.5,0.0,3.267973491289651,0.7136718695634177,3.9816453608530686,1.3272151202843563,7,81.21337890625,6.485555571356143,7.058977993033091,5.758619481444432,4.9267913132071826,4.418301613276808,4.287713925865773,4.2347492413063215
HD 18599,207141131,0.8761703660057798,398569480.60308605,0.3399999902356887,0.05609525376514886,5.54340285250268,0.11597809047548933,5.65938094297817,1.8864603143260565,7,38.6166305541992,5.811025942619959,6.2679499142922666,5.173557814893368,4.5025073388490116,4.071863573307236,3.9651098061464407,3.9303151815601196
TOI-1648,376353509,0.8350193018673082,5701176380.791606,0.5,0.15779983191269095,1.7992646350310557,0.09003384258977802,1.8892984776208337,0.6297661592069446,7,69.6538619995117,5.979240778132192,6.483229340298174,5.3034988849501925,4.557176110133671,4.089690733859241,3.9701601050120185,3.932464732471423
TOI-1669,428679607,0.9716196629402681,7935238722.826953,0.13926064890795978,0.1589635518595659,2.3749480273034544,0.02981542680210448,2.404763454105559,0.8015878180351863,7,111.545936584473,4.778440720419036,5.145283313627219,4.240201439193505,3.6441692908843812,3.3201972924145124,3.234583403225934,3.204853741236
TOI-6041,192415680,0.8743888978620169,8290415312.941096,0.0019125304066296258,0.09741978217744876,4.08290709830507,0.021668421851015397,4.104575520156086,1.3681918400520285,7,72.5000686645508,5.41135586140393,5.829615649519428,4.812139117684133,4.215562329371041,3.8423545394305108,3.749025781450403,3.7197167244631997
NGTS-20,257527578,1.4700000272046847,3175287804.894583,0.27364704686749725,0.0772647684658887,0.8302922181930661,0.1325852511533305,0.9628774693463966,0.32095915644879885,7,362.33251953125,3.235863593103632,3.5108027609581147,2.7887701089119856,2.3452432332416815,2.1008569420389667,2.0309114951469858,2.001999892657375
TOI-6303,186810676,0.6466327962027517,6025277863.230422,0.15102296886285926,0.6124654443624915,2.164346191165394,0.09076758381553446,2.2551137749809285,0.7517045916603095,7,150.793594360352,8.009074120825215,8.962743119893396,7.013187794515999,5.798011529763265,5.131168807472585,4.933206181312042,4.870509534974608
TOI-559,209459275,1.0485555536139743,6882892111.22737,0.20934741672791635,0.0,0.32424235512407273,0.07908541373453412,0.4033277688586069,0.13444258961953562,7,231.513076782227,4.157631649342809,4.455345312476256,3.681598538890455,3.166862863067407,2.8911788145172572,2.81963128884965,2.7919078817392506
TOI-5678,209464063,0.9181896855825116,7727205528.995463,0.26848814043657654,0.0,1.6441275621291724,0.13861665985143212,1.7827442219806047,0.5942480739935349,7,163.397750854492,5.085174167195351,5.45357665323348,4.530438491292748,3.944293278420491,3.5875736260142608,3.5006549205874835,3.4697716558262686
TOI-3261,358070912,0.8736053586884027,6026722460.533881,0.42762601684507595,0.17458820534738803,5.141516445266873,0.13483387739125358,5.276350322658127,1.7587834408860423,7,298.247894287109,5.674677931358503,6.13965191283061,5.0344725895796305,4.330123403065476,3.8974190930012096,3.786518643237312,3.75162998035029
HD 20329,333657795,0.9668272987267348,10950782203.737694,0.14503517595870208,0.12275857203902778,0.7635561078588151,0.051311612621931686,0.8148677204807468,0.27162257349358226,7,63.7483978271484,4.577177305853827,4.924646654070366,4.059794202902127,3.4758284595247306,3.165500529893197,3.084747399830171,3.055342936878504
WASP-139,159951311,0.92,499999999.99999994,0.2,0.0,217.50550233376646,,,,7,212.156814575195,5.464425592713615,5.866513662751573,4.875807393364907,4.28490720455816,3.9030868596364896,3.8108653756461677,3.7797362177928475
TOI-6109,384984325,1.0528248871377557,75005282.94472775,0.1650282146859046,0.20505717422931052,0.9309445476702247,0.006226603066691236,0.9371711507369159,0.312390383578972,7,147.793212890625,4.964168213252049,5.334251727131173,4.4248256726954835,3.812126136846826,3.489924009573865,3.401903203133741,3.372019850116888
TOI-3682,28961316,1.320034748038494,3162277656.735515,0.39701489224893627,0.9138738679890638,3.5344846704001576,1.6829661569461416,5.217450827346299,1.7391502757820998,7,390.700073242188,3.899336810113121,4.386902446883442,3.2840328710188156,2.5765077360156114,2.2262993467198333,2.1012352770683655,2.066594726188152
TOI-5076,303432813,0.814894521171804,8400834196.101246,0.5,0.12900219327542659,2.1517108840109076,0.17539471899212844,2.327105603003036,0.7757018676676787,7,82.5094909667969,6.0147384570715055,6.520924153132174,5.333635078070256,4.578027873431646,4.105981000950242,3.986249558724613,3.9478777153211286
TOI-2202,358107516,0.8493639592363227,5792353633.382518,0.4847359715309613,0.19487924944090684,3.617901419039476,0.20559681994035522,3.823498238979831,1.274499412993277,7,235.887512207031,5.886735838179102,6.382867522429651,5.219009221472493,4.4848788462636024,4.026141890698003,3.908183430354959,3.871787240676482
HD 21520,404518509,1.0153633673750595,5161639572.072619,-0.053368442263078075,0.0,2.688923528571533,0.03187108855075105,2.720794617122284,0.9069315390407614,7,79.3694763183594,4.530863526704693,4.840116206167121,4.041580696566155,3.538964514315821,3.2674991548785357,3.199314497135136,3.17187899154374
TOI-6038 A,194736418,1.240010821773378,3955569197.681274,-0.17132342772566694,0.31774391149933623,1.964899448722425,0.20013309000322077,2.1650325387256455,0.7216775129085485,7,177.118408203125,3.4874673593325354,3.808104872853988,3.0145836974028057,2.4951709910530226,2.270494206700028,2.195965475125399,2.167311090916792
GJ 143,279741379,0.761194068265624,3806192720.206512,0.5,0.0939050045029569,2.1359630303160007,0.24798487119397838,2.383947901509979,1.1919739507549896,6,16.3317642211914,6.62597776836556,7.237390750584154,5.871323108122451,4.992837639564986,4.4676874599092935,4.328892280665797,4.272415354738192
